system:index,B1,B2,B3,B4,B5,B6,B7,EVI,MNDWI,NBR,NDBI,NDBaI,NDMI,NDWI,agbd,elevation,.geo
0000000000000000002e_0,0.13384292499578962,0.15815644640185086,0.23872054792162317,0.1929752430868904,0.5138968768147945,0.377284470166175,0.2613536192320938,0.718138,0.2858937,0.7945048,0.35022593,0.67573726,0.6497741,0.1774883,64.977885,0.501728,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,0.1479057507709254,0.15907370758376269,0.24433753975460532,0.20415476155766404,0.5055479700285622,0.4041410644812031,0.2913052522698484,0.7031921,0.26767972,0.7507362,0.38989398,0.65808785,0.610106,0.18935838,200.412486,0.50369525,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,0.15943530156340968,0.17143208081725347,0.25701250664399306,0.21969391586174314,0.5278156638448692,0.42169005205245236,0.310549244618842,0.7136166,0.27085447,0.7428452,0.38960972,0.6483641,0.6103903,0.19166234,142.767761,0.50369525,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,0.113539640654707,0.1291752685307834,0.2356188659679017,0.1891692363995795,0.5025335809674812,0.36188741343130465,0.25512006977107854,0.70188,0.29770818,0.79508543,0.3414906,0.6680099,0.6585094,0.18021466,297.059421,0.5236442,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,0.1155800588336933,0.12805272351652655,0.22633216740004056,0.16195292525916288,0.48657476301181096,0.3867912873889483,0.26828156850592627,0.70702404,0.25506794,0.7668675,0.38722056,0.6751774,0.61277944,0.17788051,224.982283,0.52149355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,0.125886853960213,0.1368758561617059,0.23111144497839126,0.19454433941906404,0.4954656900331243,0.3687004203957462,0.2717949594823274,0.6948476,0.28207973,0.7686849,0.35639918,0.64791185,0.6436008,0.17869763,212.647956,0.52574956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,0.11599568957508721,0.1280527235165266,0.21023796041628637,0.1576943245649633,0.4824883418280695,0.34671313791086716,0.23253494361063248,0.70643806,0.2688401,0.81150705,0.3405334,0.6897422,0.65946656,0.15956967,174.563727,0.52522737,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,0.14931928877408973,0.16152786137381994,0.22949945533704427,0.18712295423063416,0.4710825299244284,0.36606181172037056,0.2432565518131012,0.68897116,0.2821538,0.7894865,0.37649262,0.693678,0.6235074,0.19181412,307.842176,0.5442418,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,0.15237289785260366,0.16347400404957355,0.23315499136840284,0.18891466327418846,0.4841526102377225,0.3708385767419565,0.24446881191677597,0.6990162,0.2833049,0.7968343,0.36975533,0.6970645,0.6302447,0.1882543,303.921515,0.5433722,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,0.15738884966858355,0.1668457371346358,0.23491753872369772,0.19654834011000955,0.4527913426734217,0.3686071757304787,0.25611520845119684,0.66936606,0.28884628,0.7576077,0.39857653,0.67441195,0.6014235,0.21208657,326.13404,0.5411646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,0.15470132513976728,0.16815915080660937,0.2271205626974361,0.1947209541882948,0.47057146109809933,0.37439951923046055,0.25740046620004403,0.68547183,0.26900336,0.769702,0.3876387,0.67904377,0.6123613,0.18893676,306.839493,0.5389072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,0.1153418831127704,0.13936462965903507,0.2344488217074251,0.1780870573624035,0.5085039331214657,0.3797959978725421,0.24748737341529164,0.7176006,0.2759194,0.80848974,0.35808685,0.7019392,0.6419131,0.17530717,217.927005,0.5267858,"{""type"":""MultiPoint"",""coordinates"":[]}"
